Ride_ID,Fare,Distance_Miles,Ride_Request_Time,Pickup_Time,Dropoff_Time,Ride_Duration_Minutes,Source_Zone,Destination_Zone,Driver_Rating_by_Customer,Ride_Status,Cancelled_By,Driver_ID,Customer_ID
1015,21.84,5.77,2023-02-12 17:25:24,2023-02-12 17:36:24,2023-02-12 18:11:24,35.0,LaGuardia Airport (LGA),Financial District,2,Cancelled_by_Driver,Driver,DRV_38E095,CUST_10AECC5
1016,10.91,3.26,2023-02-14 20:44:20,2023-02-14 20:47:20,2023-02-14 21:08:20,21.0,JFK Airport,Flushing (Queens),4,Completed,,DRV_13B269,CUST_E6A5E15
1017,17.0,8.97,2023-01-27 21:13:12,2023-01-27 21:21:12,2023-01-27 22:14:12,53.0,SoHo,Forest Hills (Queens),3,Completed,,DRV_A87420,CUST_DD0A507
1018,18.09,5.52,2023-03-27 20:03:45,2023-03-27 20:17:45,2023-03-27 20:50:45,33.0,Williamsburg (Brooklyn),Harlem (Manhattan),5,Completed,,DRV_38E095,CUST_9D969B9
1019,17.71,7.08,2023-02-04 10:28:26,2023-02-04 10:30:26,2023-02-04 11:16:26,46.0,Riverdale (Bronx),Long Island City (Queens),4,Completed,,DRV_6F1C3E,CUST_47C3736
1020,22.67,6.53,2023-02-12 10:55:43,2023-02-12 10:59:43,2023-02-12 11:33:43,34.0,Williamsburg (Brooklyn),Harlem (Manhattan),5,Completed,,DRV_1A4870,CUST_9B36924
1021,55.36,33.28,2023-02-28 16:17:47,2023-02-28 16:19:47,2023-02-28 19:49:47,210.0,Riverdale (Bronx),Bay Ridge (Brooklyn),1,Completed,,DRV_13B269,CUST_80B15C0
1022,60.98,19.29,2023-02-28 14:36:34,2023-02-28 14:42:34,2023-02-28 16:17:34,95.0,Financial District,The Bronx (Residential),4,Completed,,DRV_075754,CUST_4A06173
1023,7.37,1.72,2023-03-18 13:23:23,2023-03-18 13:26:23,2023-03-18 13:31:23,5.0,Riverdale (Bronx),Midtown Manhattan,4,Completed,,DRV_E5665A,CUST_FC1ED2E
1024,15.82,5.87,2023-01-08 08:54:58,2023-01-08 08:56:58,2023-01-08 09:38:58,42.0,Forest Hills (Queens),Financial District,5,Completed,,DRV_437049,CUST_17EAC47
1025,50.04,29.5,2023-03-13 12:22:23,2023-03-13 12:26:23,2023-03-13 13:54:23,88.0,Park Slope (Brooklyn),Upper East Side (Manhattan),4,Completed,,DRV_DBCA72,CUST_5A8BEA3
1026,7.51,1.67,2023-02-15 18:57:44,2023-02-15 19:06:44,2023-02-15 19:26:44,20.0,SoHo,Greenwich Village,4,Completed,,DRV_096407,CUST_0650A91
1027,20.97,7.33,2023-02-20 22:26:26,2023-02-20 22:31:26,2023-02-20 23:04:26,33.0,Staten Island (Residential),Forest Hills (Queens),4,Completed,,DRV_5AD549,CUST_41E2370
1028,12.7,3.62,2023-03-10 13:40:48,2023-03-10 13:51:48,2023-03-10 14:21:48,30.0,Williamsburg (Brooklyn),Riverdale (Bronx),5,Cancelled_by_Customer,Customer,DRV_59170D,CUST_065C396
1029,22.1,6.44,2023-01-02 13:33:41,2023-01-02 13:39:41,2023-01-02 14:15:41,36.0,The Bronx (Residential),Flushing (Queens),5,Completed,,DRV_4A3888,CUST_D6D6816
1030,28.66,9.4,2023-03-12 21:09:48,2023-03-12 21:14:48,2023-03-12 21:56:48,42.0,Bay Ridge (Brooklyn),Newark Liberty Airport (EWR),5,Completed,,DRV_C34A1E,CUST_942F69B
1031,16.5,7.5,2023-01-14 05:52:42,2023-01-14 06:02:42,2023-01-14 07:08:42,66.0,Staten Island (Residential),Park Slope (Brooklyn),4,Completed,,DRV_8B3D4E,CUST_FC62FBB
1032,7.92,2.28,2023-03-10 00:17:10,2023-03-10 00:28:10,2023-03-10 00:40:10,12.0,LaGuardia Airport (LGA),The Bronx (Residential),5,Completed,,DRV_8D8FE0,CUST_1259BC7
1033,26.42,9.89,2023-03-31 20:59:36,2023-03-31 21:00:36,2023-03-31 21:29:36,29.0,Financial District,Newark Liberty Airport (EWR),5,Completed,,DRV_73D1BC,CUST_D8B8255
1034,22.18,9.75,2023-03-06 04:04:10,2023-03-06 04:08:10,2023-03-06 05:15:10,67.0,Long Island City (Queens),Williamsburg (Brooklyn),2,Completed,,DRV_D33B76,CUST_374BC1F
1035,36.85,11.07,2023-01-24 19:33:52,2023-01-24 19:36:52,2023-01-24 20:32:52,56.0,Harlem (Manhattan),The Bronx (Residential),4,Completed,,DRV_DE0CE8,CUST_79A8B93
1036,12.49,3.7,2023-03-18 11:22:02,2023-03-18 11:28:02,2023-03-18 12:04:02,36.0,SoHo,LaGuardia Airport (LGA),5,Cancelled_by_Customer,Customer,DRV_07303A,CUST_302B287
1037,8.86,2.47,2023-01-08 16:06:05,2023-01-08 16:16:05,2023-01-08 16:37:05,21.0,Greenwich Village,The Bronx (Residential),5,Completed,,DRV_7CDBAA,CUST_0497A10
1038,24.43,7.27,2023-02-13 17:31:14,2023-02-13 17:37:14,2023-02-13 18:11:14,34.0,Upper East Side (Manhattan),SoHo,4,Completed,,DRV_5112B4,CUST_47CFDCF
1039,23.44,11.18,2023-03-27 03:00:20,2023-03-27 03:05:20,2023-03-27 03:56:20,51.0,Williamsburg (Brooklyn),Long Island City (Queens),5,Completed,,DRV_51CBE9,CUST_31DDCE0
1040,12.34,4.91,2023-01-03 14:11:32,2023-01-03 14:12:32,2023-01-03 14:50:32,38.0,Long Island City (Queens),Harlem (Manhattan),4,Completed,,DRV_8BA3B4,CUST_19FE94F
1041,15.57,8.11,2023-03-10 15:54:39,2023-03-10 16:02:39,2023-03-10 16:24:39,22.0,LaGuardia Airport (LGA),Flushing (Queens),4,Cancelled_by_Customer,Customer,DRV_0024CF,CUST_1F198AF
1042,22.85,5.3,2023-03-17 06:23:00,2023-03-17 06:37:00,2023-03-17 07:04:00,27.0,LaGuardia Airport (LGA),SoHo,5,Completed,,DRV_27408B,CUST_4246597
1043,5.0,0.72,2023-02-03 09:30:52,2023-02-03 09:37:52,2023-02-03 09:52:52,15.0,Long Island City (Queens),LaGuardia Airport (LGA),4,Completed,,DRV_110CA4,CUST_54480F9
1044,20.23,10.94,2023-01-02 18:59:26,2023-01-02 19:11:26,2023-01-02 19:53:26,42.0,Upper East Side (Manhattan),Newark Liberty Airport (EWR),4,Cancelled_by_Customer,Customer,DRV_1CBA1C,CUST_47B90C1
1045,8.94,2.75,2023-02-06 19:36:24,2023-02-06 19:37:24,2023-02-06 20:00:24,23.0,The Bronx (Residential),JFK Airport,3,Completed,,DRV_8A95D1,CUST_2120536
1046,29.79,10.1,2023-01-08 07:35:56,2023-01-08 07:44:56,2023-01-08 08:14:56,30.0,Long Island City (Queens),Forest Hills (Queens),4,Completed,,DRV_AA719F,CUST_82F8CEE
1047,31.05,10.21,2023-02-23 16:25:21,2023-02-23 16:40:21,2023-02-23 17:39:21,59.0,Park Slope (Brooklyn),Staten Island (Residential),5,Completed,,DRV_7DEDA8,CUST_605D2D4
1048,32.6,9.82,2023-01-07 06:53:18,2023-01-07 07:08:18,2023-01-07 08:02:18,54.0,Upper East Side (Manhattan),Long Island City (Queens),3,Completed,,DRV_436FD4,CUST_5DD4C25
1049,22.89,7.69,2023-02-09 07:21:02,2023-02-09 07:30:02,2023-02-09 08:23:02,53.0,Newark Liberty Airport (EWR),Williamsburg (Brooklyn),4,Completed,,DRV_8734EB,CUST_BAF4337
1050,18.12,7.71,2023-02-22 11:42:39,2023-02-22 11:50:39,2023-02-22 12:48:39,58.0,Staten Island (Residential),SoHo,3,Cancelled_by_Driver,Driver,DRV_F78C92,CUST_DC9DBB7
1051,6.41,1.04,2023-02-19 12:57:53,2023-02-19 13:00:53,2023-02-19 13:19:53,19.0,Staten Island (Residential),Park Slope (Brooklyn),5,Completed,,DRV_4AA321,CUST_ED90BCE
1052,15.66,5.6,2023-01-18 05:17:40,2023-01-18 05:23:40,2023-01-18 05:54:40,31.0,Long Island City (Queens),Park Slope (Brooklyn),4,Completed,,DRV_5BB751,CUST_56ACC6A
1053,5.0,0.7,2023-01-09 13:13:27,2023-01-09 13:17:27,2023-01-09 13:22:27,5.0,Upper East Side (Manhattan),Riverdale (Bronx),4,Completed,,DRV_1EC3DF,CUST_35755E5
1054,17.11,5.39,2023-02-08 01:45:17,2023-02-08 01:58:17,2023-02-08 02:36:17,38.0,Midtown Manhattan,Williamsburg (Brooklyn),4,Completed,,DRV_8D4F25,CUST_E4F8674
1055,31.46,11.94,2023-01-24 20:34:13,2023-01-24 20:49:13,2023-01-24 21:59:13,70.0,Flushing (Queens),Upper East Side (Manhattan),4,Completed,,DRV_926AC0,CUST_33195CE
1056,14.41,6.3,2023-01-09 10:53:01,2023-01-09 11:08:01,2023-01-09 11:55:01,47.0,Forest Hills (Queens),Bay Ridge (Brooklyn),3,Completed,,DRV_91B05F,CUST_EEB6C6A
1057,25.44,9.82,2023-03-06 17:41:38,2023-03-06 17:52:38,2023-03-06 18:20:38,28.0,Upper East Side (Manhattan),Riverdale (Bronx),4,Completed,,DRV_4C6174,CUST_1DBE26A
1058,27.69,12.55,2023-02-14 07:53:11,2023-02-14 08:05:11,2023-02-14 09:00:11,55.0,Flushing (Queens),Upper East Side (Manhattan),2,Completed,,DRV_4BB01F,CUST_63BDAAF
1059,23.42,7.05,2023-01-22 06:03:03,2023-01-22 06:17:03,2023-01-22 07:01:03,44.0,Midtown Manhattan,JFK Airport,5,Completed,,DRV_59170D,CUST_55932B8
1060,31.58,10.32,2023-02-01 14:32:53,2023-02-01 14:36:53,2023-02-01 15:35:53,59.0,Greenwich Village,Financial District,3,Completed,,DRV_D6ADF9,CUST_E6DC934
1061,22.99,6.86,2023-02-24 18:06:11,2023-02-24 18:08:11,2023-02-24 18:53:11,45.0,Flushing (Queens),Newark Liberty Airport (EWR),4,Completed,,DRV_21D81F,CUST_32CFEBE
1062,17.34,6.99,2023-01-24 23:19:02,2023-01-24 23:24:02,2023-01-24 23:51:02,27.0,Bay Ridge (Brooklyn),Upper East Side (Manhattan),5,Completed,,DRV_D8A263,CUST_64F4D19
1063,32.23,11.33,2023-02-27 20:52:56,2023-02-27 20:57:56,2023-02-27 21:58:56,61.0,Staten Island (Residential),Williamsburg (Brooklyn),4,Completed,,DRV_F0D371,CUST_331A024
1064,17.79,7.16,2023-02-22 04:15:23,2023-02-22 04:16:23,2023-02-22 04:59:23,43.0,Riverdale (Bronx),Bay Ridge (Brooklyn),4,Cancelled_by_Customer,Customer,DRV_1FEFF6,CUST_0213671
1065,29.1,11.81,2023-02-12 01:00:40,2023-02-12 01:10:40,2023-02-12 02:06:40,56.0,Flushing (Queens),Greenwich Village,5,Completed,,DRV_B2C0C4,CUST_06E5D67
1066,6.05,1.29,2023-03-19 00:19:04,2023-03-19 00:27:04,2023-03-19 00:51:04,24.0,Flushing (Queens),LaGuardia Airport (LGA),5,Completed,,DRV_F216FC,CUST_E750576
1067,15.24,3.66,2023-02-22 12:07:03,2023-02-22 12:11:03,2023-02-22 12:24:03,13.0,Long Island City (Queens),SoHo,5,Completed,,DRV_76FC11,CUST_9B3B19D
1068,7.14,0.98,2023-03-01 20:03:03,2023-03-01 20:09:03,2023-03-01 20:14:03,5.0,Greenwich Village,The Bronx (Residential),5,Completed,,DRV_1B2638,CUST_4DD9365
1069,20.44,8.58,2023-02-02 03:53:25,2023-02-02 04:08:25,2023-02-02 05:27:25,79.0,JFK Airport,Flushing (Queens),5,Completed,,DRV_49AF44,CUST_380DADB
1070,47.86,26.74,2023-02-20 23:03:24,2023-02-20 23:18:24,2023-02-21 00:40:24,82.0,The Bronx (Residential),Upper East Side (Manhattan),4,Completed,,DRV_D8A263,CUST_9E1FB89
1071,29.46,9.18,2023-01-12 03:43:12,2023-01-12 03:51:12,2023-01-12 04:49:12,58.0,Williamsburg (Brooklyn),Greenwich Village,5,Cancelled_by_Driver,Driver,DRV_401195,CUST_E262DB8
1072,24.54,7.24,2023-01-13 05:49:42,2023-01-13 05:56:42,2023-01-13 06:32:42,36.0,Staten Island (Residential),Midtown Manhattan,4,Completed,,DRV_161C7E,CUST_8884A34
1073,7.87,2.48,2023-01-12 08:52:30,2023-01-12 09:04:30,2023-01-12 09:17:30,13.0,JFK Airport,Bay Ridge (Brooklyn),3,Completed,,DRV_388E3E,CUST_AB51E4F
1074,23.59,10.1,2023-03-18 14:36:10,2023-03-18 14:44:10,2023-03-18 15:20:10,36.0,Long Island City (Queens),SoHo,5,Completed,,DRV_9BE9AC,CUST_9C24F60
1075,11.31,3.99,2023-01-11 16:32:25,2023-01-11 16:40:25,2023-01-11 16:58:25,18.0,Forest Hills (Queens),Flushing (Queens),5,Completed,,DRV_7CDB7B,CUST_57ED9C9
1076,15.64,6.31,2023-03-30 12:20:30,2023-03-30 12:33:30,2023-03-30 12:55:30,22.0,Financial District,Flushing (Queens),4,Completed,,DRV_4BD15B,CUST_A7218F7
1077,54.46,19.34,2023-03-30 17:12:29,2023-03-30 17:24:29,2023-03-30 18:43:29,79.0,Riverdale (Bronx),Financial District,4,Completed,,DRV_B293E9,CUST_6B3B7DB
1078,18.74,5.79,2023-02-06 07:18:37,2023-02-06 07:23:37,2023-02-06 07:44:37,21.0,Forest Hills (Queens),Bay Ridge (Brooklyn),4,Completed,,DRV_3E68AE,CUST_037B235
1079,22.02,5.71,2023-03-09 22:13:22,2023-03-09 22:22:22,2023-03-09 22:50:22,28.0,Park Slope (Brooklyn),Harlem (Manhattan),4,Completed,,DRV_0024CF,CUST_83E53A4
1080,17.85,6.32,2023-02-26 21:31:35,2023-02-26 21:45:35,2023-02-26 22:20:35,35.0,Newark Liberty Airport (EWR),LaGuardia Airport (LGA),5,Completed,,DRV_BB881B,CUST_F7AB51D
1081,12.34,1.48,2023-01-01 06:56:39,2023-01-01 06:57:39,2023-01-01 07:14:39,17.0,JFK Airport,The Bronx (Residential),4,No_Show_Customer,Customer,DRV_14FBC1,CUST_85B7436
1082,11.23,2.89,2023-01-18 20:19:55,2023-01-18 20:25:55,2023-01-18 20:35:55,10.0,Bay Ridge (Brooklyn),Flushing (Queens),4,Completed,,DRV_E3B9B1,CUST_F21F860
1083,15.65,6.99,2023-02-21 07:18:20,2023-02-21 07:21:20,2023-02-21 08:02:20,41.0,Financial District,Park Slope (Brooklyn),3,Completed,,DRV_B4D639,CUST_854D8DA
1084,31.78,11.56,2023-01-27 22:36:18,2023-01-27 22:47:18,2023-01-27 23:46:18,59.0,Riverdale (Bronx),Bay Ridge (Brooklyn),4,Completed,,DRV_6514EF,CUST_B277FB1
1085,13.12,1.33,2023-01-25 06:52:41,2023-01-25 07:02:41,2023-01-25 07:07:41,5.0,Upper East Side (Manhattan),Forest Hills (Queens),4,Completed,,DRV_7D45CE,CUST_C9CD972
1086,23.96,10.78,2023-01-29 09:59:47,2023-01-29 10:08:47,2023-01-29 10:48:47,40.0,Newark Liberty Airport (EWR),Upper East Side (Manhattan),4,Completed,,DRV_F799BE,CUST_97FBAF7
1087,11.81,2.96,2023-02-19 18:00:18,2023-02-19 18:08:18,2023-02-19 18:26:18,18.0,Staten Island (Residential),Midtown Manhattan,5,Completed,,DRV_FBBC6E,CUST_5AA8778
1088,5.53,0.8,2023-03-18 17:29:13,2023-03-18 17:35:13,2023-03-18 17:56:13,21.0,Forest Hills (Queens),Staten Island (Residential),4,Completed,,DRV_F0D371,CUST_832CA1B
1089,10.51,2.41,2023-01-04 11:59:39,2023-01-04 12:05:39,2023-01-04 12:14:39,9.0,SoHo,Long Island City (Queens),5,Completed,,DRV_DDC762,CUST_5CE9D27
1090,21.12,2.54,2023-02-01 18:20:30,2023-02-01 18:29:30,2023-02-01 18:53:30,24.0,JFK Airport,LaGuardia Airport (LGA),5,Completed,,DRV_791502,CUST_F0BE1F1
1091,10.22,4.06,2023-03-29 22:21:20,2023-03-29 22:22:20,2023-03-29 22:52:20,30.0,Bay Ridge (Brooklyn),Harlem (Manhattan),4,Cancelled_by_Customer,Customer,DRV_3A6F6A,CUST_F621319
1092,5.0,1.2,2023-03-04 05:55:01,2023-03-04 06:03:01,2023-03-04 06:22:01,19.0,Upper East Side (Manhattan),The Bronx (Residential),5,Completed,,DRV_E61D97,CUST_725ACB8
1093,28.4,8.91,2023-01-28 17:44:48,2023-01-28 17:59:48,2023-01-28 18:32:48,33.0,Long Island City (Queens),Staten Island (Residential),5,Completed,,DRV_D89C79,CUST_9185610
1094,15.5,4.55,2023-01-28 07:40:19,2023-01-28 07:52:19,2023-01-28 08:20:19,28.0,Upper East Side (Manhattan),Flushing (Queens),4,Completed,,DRV_5E650A,CUST_ECD78FC
1095,14.52,6.05,2023-02-08 12:14:21,2023-02-08 12:19:21,2023-02-08 12:48:21,29.0,Williamsburg (Brooklyn),Park Slope (Brooklyn),4,Completed,,DRV_3AE7E1,CUST_8F4E122
1096,11.66,2.15,2023-01-06 22:33:59,2023-01-06 22:47:59,2023-01-06 23:08:59,21.0,JFK Airport,Staten Island (Residential),2,Completed,,DRV_EE287B,CUST_3B1C01F
1097,17.22,8.53,2023-02-13 01:08:19,2023-02-13 01:09:19,2023-02-13 01:49:19,40.0,SoHo,Financial District,5,Completed,,DRV_5B1045,CUST_9E8C830
1098,31.22,9.31,2023-01-08 23:18:49,2023-01-08 23:27:49,2023-01-09 00:01:49,34.0,Williamsburg (Brooklyn),Park Slope (Brooklyn),5,Completed,,DRV_58938E,CUST_5B69B93
1099,13.68,3.16,2023-03-08 12:04:29,2023-03-08 12:16:29,2023-03-08 12:42:29,26.0,Newark Liberty Airport (EWR),Staten Island (Residential),5,Completed,,DRV_C25F84,CUST_170A009
1100,34.67,10.15,2023-03-08 21:38:43,2023-03-08 21:39:43,2023-03-08 22:31:43,52.0,JFK Airport,Flushing (Queens),5,Completed,,DRV_E078EC,CUST_F8688FB
1101,19.96,9.07,2023-01-17 13:21:06,2023-01-17 13:30:06,2023-01-17 14:14:06,44.0,Williamsburg (Brooklyn),Forest Hills (Queens),4,Completed,,DRV_B0A9BB,CUST_ABC5EAC
1102,23.78,7.26,2023-01-18 06:11:29,2023-01-18 06:12:29,2023-01-18 06:41:29,29.0,Long Island City (Queens),Williamsburg (Brooklyn),4,Completed,,DRV_C65AE4,CUST_E27215F
1103,18.47,5.22,2023-01-27 19:45:57,2023-01-27 20:00:57,2023-01-27 20:46:57,46.0,Forest Hills (Queens),Park Slope (Brooklyn),5,Completed,,DRV_CCA545,CUST_BF60EC2
1104,12.34,1.88,2023-01-17 08:47:36,2023-01-17 08:57:36,2023-01-17 09:20:36,23.0,Newark Liberty Airport (EWR),Flushing (Queens),5,Completed,,DRV_BE2C91,CUST_208A363
1105,32.88,14.61,2023-03-25 01:23:37,2023-03-25 01:35:37,2023-03-25 02:37:37,62.0,Riverdale (Bronx),The Bronx (Residential),4,Completed,,DRV_CF8001,CUST_D59A430
1106,21.86,6.19,2023-02-21 21:53:04,2023-02-21 21:58:04,2023-02-21 22:34:04,36.0,Financial District,JFK Airport,4,Cancelled_by_Customer,Customer,DRV_9316B9,CUST_C958FD7
1107,23.3,9.73,2023-02-13 05:25:16,2023-02-13 05:36:16,2023-02-13 06:36:16,60.0,LaGuardia Airport (LGA),Long Island City (Queens),4,Completed,,DRV_C65AE4,CUST_BBD1211
1108,30.95,11.41,2023-03-02 04:16:24,2023-03-02 04:27:24,2023-03-02 05:34:24,67.0,Harlem (Manhattan),Park Slope (Brooklyn),4,Completed,,DRV_2EAE77,CUST_A08DCC1
1109,35.66,10.8,2023-02-08 07:02:38,2023-02-08 07:12:38,2023-02-08 08:02:38,50.0,JFK Airport,Greenwich Village,5,Completed,,DRV_9DCEB1,CUST_3A57658
1110,6.86,1.27,2023-01-18 11:12:48,2023-01-18 11:22:48,2023-01-18 11:32:48,10.0,Newark Liberty Airport (EWR),LaGuardia Airport (LGA),4,No_Show_Customer,Customer,DRV_F78C92,CUST_9E09CD1
1111,37.27,21.69,2023-03-16 22:06:32,2023-03-16 22:14:32,2023-03-16 23:24:32,70.0,Midtown Manhattan,JFK Airport,3,Completed,,DRV_91B05F,CUST_BBF8988
1112,21.14,10.25,2023-02-19 11:51:44,2023-02-19 11:59:44,2023-02-19 12:37:44,38.0,Upper East Side (Manhattan),SoHo,3,Completed,,DRV_9D5C71,CUST_FCC1FC4
1113,10.24,2.64,2023-02-28 20:48:00,2023-02-28 20:50:00,2023-02-28 21:10:00,20.0,Newark Liberty Airport (EWR),Riverdale (Bronx),5,Completed,,DRV_FACA18,CUST_A696EFB
1114,17.77,7.34,2023-03-15 01:13:12,2023-03-15 01:27:12,2023-03-15 02:08:12,41.0,Harlem (Manhattan),Park Slope (Brooklyn),4,Completed,,DRV_BF4FE6,CUST_93D097B
1115,13.23,4.83,2023-03-17 18:30:05,2023-03-17 18:37:05,2023-03-17 19:11:05,34.0,Staten Island (Residential),SoHo,5,Cancelled_by_Customer,Customer,DRV_BA6583,CUST_2848359
1116,25.12,7.63,2023-03-07 08:17:36,2023-03-07 08:26:36,2023-03-07 08:57:36,31.0,Newark Liberty Airport (EWR),Bay Ridge (Brooklyn),4,Completed,,DRV_919C9F,CUST_62789EA
1117,17.2,2.55,2023-02-08 01:05:20,2023-02-08 01:15:20,2023-02-08 01:47:20,32.0,Bay Ridge (Brooklyn),Staten Island (Residential),3,Completed,,DRV_77B7EE,CUST_35815A8
1118,15.23,6.8,2023-01-03 03:32:18,2023-01-03 03:35:18,2023-01-03 04:02:18,27.0,Upper East Side (Manhattan),Newark Liberty Airport (EWR),2,Completed,,DRV_6514EF,CUST_3C8A503
1119,19.76,6.66,2023-01-08 22:42:58,2023-01-08 22:55:58,2023-01-08 23:49:58,54.0,Williamsburg (Brooklyn),Forest Hills (Queens),4,Completed,,DRV_AB4D18,CUST_A5FC6EE
1120,19.66,7.55,2023-02-16 10:02:48,2023-02-16 10:07:48,2023-02-16 10:54:48,47.0,Flushing (Queens),LaGuardia Airport (LGA),5,Completed,,DRV_480A72,CUST_EEC5377
1121,29.07,11.72,2023-01-09 04:26:02,2023-01-09 04:37:02,2023-01-09 05:30:02,53.0,Riverdale (Bronx),Financial District,3,Completed,,DRV_C8EA80,CUST_30EB16F
1122,18.08,4.74,2023-01-01 16:33:37,2023-01-01 16:44:37,2023-01-01 17:10:37,26.0,Newark Liberty Airport (EWR),Harlem (Manhattan),4,Completed,,DRV_7C9CB4,CUST_63246BE
1123,16.72,9.17,2023-03-19 07:41:29,2023-03-19 07:51:29,2023-03-19 08:25:29,34.0,Bay Ridge (Brooklyn),Financial District,4,Completed,,DRV_51CBE9,CUST_DD208CD
1124,25.12,8.29,2023-01-23 00:02:45,2023-01-23 00:06:45,2023-01-23 00:40:45,34.0,Long Island City (Queens),JFK Airport,4,Completed,,DRV_1C2B77,CUST_0A802F9
1125,10.89,3.23,2023-03-21 10:28:26,2023-03-21 10:31:26,2023-03-21 11:07:26,36.0,JFK Airport,SoHo,5,Completed,,DRV_FEBA02,CUST_F639730
1126,20.13,5.48,2023-01-18 16:27:39,2023-01-18 16:28:39,2023-01-18 16:56:39,28.0,LaGuardia Airport (LGA),Bay Ridge (Brooklyn),5,Completed,,DRV_E0C665,CUST_DF946A6
1127,16.81,6.16,2023-01-03 20:59:59,2023-01-03 21:04:59,2023-01-03 21:42:59,38.0,Harlem (Manhattan),SoHo,4,Completed,,DRV_750826,CUST_44F89BB
1128,17.0,6.91,2023-03-28 04:15:58,2023-03-28 04:20:58,2023-03-28 04:43:58,23.0,Greenwich Village,Staten Island (Residential),2,Completed,,DRV_3C96B2,CUST_1FB242E
1129,24.01,10.04,2023-01-02 02:25:20,2023-01-02 02:35:20,2023-01-02 03:31:20,56.0,Greenwich Village,Long Island City (Queens),4,Completed,,DRV_E61D97,CUST_4FBDB65
1130,17.12,6.85,2023-01-08 20:22:42,2023-01-08 20:28:42,2023-01-08 20:49:42,21.0,Staten Island (Residential),SoHo,4,Completed,,DRV_1F94F5,CUST_4FB4DBA
1131,18.85,9.85,2023-03-13 01:53:42,2023-03-13 02:00:42,2023-03-13 03:04:42,64.0,Long Island City (Queens),Flushing (Queens),3,Cancelled_by_Customer,Customer,DRV_096407,CUST_5E87E97
1132,89.91,34.93,2023-01-11 13:17:25,2023-01-11 13:26:25,2023-01-11 16:14:25,168.0,The Bronx (Residential),Midtown Manhattan,5,Completed,,DRV_7BDF78,CUST_8576E44
1133,6.75,1.1,2023-03-29 02:47:38,2023-03-29 02:51:38,2023-03-29 03:15:38,24.0,The Bronx (Residential),Staten Island (Residential),5,Completed,,DRV_5B5DE7,CUST_CBE9381
1134,68.86,34.32,2023-02-24 16:41:09,2023-02-24 16:43:09,2023-02-24 20:19:09,216.0,Williamsburg (Brooklyn),Forest Hills (Queens),5,Completed,,DRV_46431C,CUST_30D69DE
